75
1|Michel Quitzon|0
2|Robyn Kerluke|3
496|2|2
323|1|1
338|5|0
3|Cheyenne Herman|2
60|14|0
530|3|1
4|Viola Greenholt I|6
400|4|2
559|1|1
433|1|1
471|1|2
50|2|2
10|3|1
5|Julio Graham|0
6|Jordane Cruickshank|2
260|8|0
226|1|1
7|Audrey Welch|8
269|4|2
192|4|2
584|4|1
183|7|0
303|2|1
99|2|1
454|5|0
240|2|1
8|Jude Hodkiewicz IV|2
535|1|0
374|2|2
9|Brianne Zemlak|0
10|Eugenia Koss|2
597|12|0
291|3|1
11|Darron Sipes|0
12|Noemy Ziemann|2
542|1|0
504|14|0
13|Lamont Schmitt I|2
395|1|2
233|10|0
14|Aditya Huel|1
523|3|1
15|Margarett Kunde|3
327|2|2
586|12|0
417|6|0
16|Imani Auer|8
385|4|1
520|4|2
456|7|0
283|1|2
83|1|2
598|3|1
54|1|2
186|4|2
17|Lizeth Pacocha|0
18|Judah Ernser|4
346|5|0
257|4|0
386|1|1
360|3|2
19|Kamron DuBuque|0
20|Mathias Conroy|1
131|8|0
21|Cielo Yost|0
22|Ted Jaskolski|0
23|Miss Tom Abernathy|0
24|Damion Harvey|0
25|Frank Wiegand|3
218|10|0
89|3|1
62|1|2
26|Shannon Davis|0
27|Alexzander Schamberger|1
311|12|0
28|Miles Waters|0
29|Trever Tromp|2
312|10|0
491|10|0
30|Carmen Tillman|0
31|Richmond Cormier|0
32|Dennis Heaney DDS|2
137|1|1
274|6|0
33|Mr. Claude Mohr|1
359|3|2
34|Idell Volkman|3
510|3|2
32|1|0
268|4|2
35|Ila Reinger|0
36|Edison Zieme|0
37|Idell King|0
38|Sammie Gusikowski|2
506|3|1
105|2|0
39|Christy Stroman|1
475|4|2
40|Celestine Gleichner|0
41|Ezra DuBuque|1
7|4|1
42|Ashton Ferry|3
353|10|0
248|4|2
299|3|2
43|Claire Leuschke|0
44|Beth Eichmann I|1
289|4|1
45|Walker Upton|0
46|Ms. Melody Hammes|2
177|4|2
383|4|2
47|Muriel Kautzer DDS|3
25|12|0
521|5|0
582|1|1
48|Ibrahim Cormier|3
447|1|2
411|3|1
563|1|2
49|Kareem Stroman|0
50|Lenny Gislason|3
378|1|2
36|1|2
49|5|0
51|Gennaro Wiegand Sr.|5
152|7|0
369|4|1
344|4|2
115|10|0
227|4|1
52|Cordelia Hermiston|0
53|Annabel Torphy|5
232|5|0
120|7|0
20|5|0
463|1|1
350|14|0
54|Carolina Okuneva|0
55|Reba Swift|3
310|4|2
205|2|2
408|4|0
56|Tremaine Kassulke|0
57|Enola Monahan|0
58|Lonie Schaefer|3
121|1|2
531|3|1
457|1|2
59|Tyshawn Carroll|2
428|4|1
290|3|2
60|Newell Roberts|0
61|Eldon Reinger|0
62|Serenity Waters|0
63|Rosemarie Spinka|3
358|3|1
401|1|1
423|1|1
64|Elmira Medhurst|0
65|Royal Bechtelar DDS|0
66|Giles Cummings|1
372|3|1
67|Max Macejkovic|0
68|Turner Waelchi|3
168|4|2
319|9|0
92|3|2
69|Ima Feest Sr.|1
473|14|0
70|Desiree Ebert|0
71|Korbin Schimmel|0
72|Albina Smith|0
73|Irving Fisher|4
250|4|2
174|2|2
190|3|1
593|2|1
74|Helene Littel|4
116|3|1
107|5|0
370|8|0
238|3|1
75|Myriam Gulgowski|3
427|12|0
425|4|2
267|4|1
