25
1|Heaven Monahan|0
2|Ryder Sawayn|1
58|4|2
3|Deanna Russel|1
185|3|2
4|Michelle Rath|4
34|2|0
12|3|1
198|1|1
117|2|2
5|Adrian Franecki|6
81|14|0
170|3|1
146|4|0
32|1|1
160|1|1
174|14|0
6|Guillermo Towne|1
166|4|0
7|Matteo Halvorson|0
8|Kevin Lehner|2
41|2|2
149|3|2
9|Dr. Stewart Luettgen|1
103|4|1
10|Yesenia Haag|1
11|4|1
11|Miss Annalise Tillman|5
129|2|1
82|5|0
133|4|0
31|2|1
99|11|0
12|Armani Blanda|0
13|Brant Rath|6
110|11|0
154|4|2
78|14|0
49|5|0
115|10|0
190|2|2
14|Virgil Lemke|0
15|Ava King|3
17|3|1
130|1|2
122|1|2
16|Lenore Zieme|0
17|Bradford Johnson|3
102|4|2
40|1|2
167|3|1
18|Delmer Orn|3
187|1|1
182|2|2
97|3|2
19|Leonel Spencer|0
20|Daren Muller|3
65|2|1
64|9|0
22|3|0
21|Micheal Bosco|0
22|Ottis Kessler|2
118|14|0
200|2|1
23|Hilda Lueilwitz IV|1
113|2|1
24|Sydnie Hudson|1
43|2|2
25|Nadia Swaniawski|0
